SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,New Georeferenced Column
268838089,5/24/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,2,BROOKLYN,79,1000926,193835,40.698695,-73.939859,POINT (-73.939859 40.698695)
268937855,5/27/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BROOKLYN,70,996803,172312,40.6396243,-73.95476916,POINT (-73.95476916 40.6396243)
268931572,5/27/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,45-64,M,BLACK,0,MANHATTAN,28,998627,231232,40.801344,-73.948071,POINT (-73.948071 40.801344)
268943415,5/28/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,F,BLACK,0,QUEENS,110,1015639,211574,40.74734258,-73.8867166,POINT (-73.8867166 40.74734258)
268965331,5/28/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,BRONX,47,1024142,265902,40.896424,-73.855704,POINT (-73.855704 40.896424)
268974256,5/29/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,WHITE,0,MANHATTAN,17,993931,215259,40.757508,-73.965055,POINT (-73.965055 40.757508)
269055736,5/30/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK HISPANIC,0,MANHATTAN,33,1001795,246381,40.84291663,-73.93658885,POINT (-73.93658885 40.84291663)
269067093,5/31/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,BROOKLYN,84,988338,189312,40.68629349,-73.98525985,POINT (-73.98525985 40.68629349)
269155219,5/31/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,2,BROOKLYN,84,988466,194673,40.701008,-73.984794,POINT (-73.984794 40.701008)
269257565,6/2/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,F,WHITE HISPANIC,0,MANHATTAN,14,987403,215746,40.758849,-73.988616,POINT (-73.988616 40.758849)
269241132,6/2/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,MANHATTAN,23,1000846,226964,40.78962425,-73.94006674,POINT (-73.94006674 40.78962425)
269395972,6/2/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,MANHATTAN,28,997790,230775,40.80008963,-73.95109521,POINT (-73.95109521 40.80008963)
269241619,6/2/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,MANHATTAN,23,1000846,226964,40.78962425,-73.94006674,POINT (-73.94006674 40.78962425)
269272144,6/3/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK HISPANIC,0,QUEENS,114,999760,214279,40.75480922,-73.9440179,POINT (-73.9440179 40.75480922)
