Date,location,operator,planeType,Dead,Aboard,Ground,,,
2/20/31,"Bagot, Manitoba, Canada",Western Canada Airways,Fokker Universal F-14,2,3,0,,,
2/24/31,Off Spain,Aeropostale,Latecoere 32,1,3,0,,,
3/21/31,"New South Wales, Australia",Australian National Airways,Avro 10,8,8,0,,,
3/31/31,"Bazaar, Kansas",Trans Continental and Western Air,Fokker F10A Trimotor,8,8,0,,,
4/14/31,"Near Letschen, Germany",Deutsche Lufthansa,Messerschmitt M-20,2,10,0,,,
5/5/31,"Burbank, California",Pacific Air Transport,Boeing 40,2,2,0,,,
5/22/31,"Wampit, Australia",Guiena Airways,Junkers W-34,1,1,0,,,
5/24/31,"Bellefonte, Pennsylvania",National Air Transport,Boeing 95,1,1,0,,,
6/7/31,"Near Sandoway, Burma",Air Orient,Fokker F-VIIB,4,4,0,,,
6/11/31,"Walbridge, Ohio",Rubner Flying Service,Lockheed Vega 2,2,3,0,,,
6/13/31,"Saarbrucken, Germany",Deutsche Lufthansa,Dornier Merkur,4,4,0,,,
7/12/31,"Chicago, Illinois",Braniff Airlines,Lockheed Vega,2,2,0,,,
7/14/31,"Temora, Australia",Australian Aerial Services,Lasco Lascowl,2,2,0,,,
7/21/31,"Centralia, Illinois",American Airways,Pitcairn PA-6 Mailwing,1,1,0,,,
7/24/31,"Kurudjevo, Bulgaria",CIDNA,Fokker F-VII,7,7,0,,,
8/9/31,"Cincinnati, Ohio",American Airways,Ford 5-AT-C Tri Motor,6,6,0,,,
9/14/31,"Chicago, Illinois",Chicago-Detroit Airways,Lockheed Vega,1,1,0,,,
9/15/31,"Near Craiova, Oltenia, Romania",CIDNA,Fokker F-VIIb-3m,6,6,0,,,
9/16/31,"Oakland, California",Pacific Air Transport,Boeing 40,4,4,0,,,
10/6/31,"Novia Scotia, Canada",Deutsche Lufthansa,Heinkel HE-2,3,3,0,,,
10/14/31,Brazil,Syndicato Condor,Dornier Wal,3,3,0,,,
11/5/31,"Camden, New Jersey","NY, Phil., Washington AW",Lockheed Orion 9,5,5,0,,,
11/13/31,"Sir Lowry's pass, South Africa",Union Airways,De Havilland DH.80,3,3,0,,,
11/23/31,"Salt Lake City, Utah",Boeing Air Transport,Boeing 40,1,1,0,,,
11/24/31,"Near Tsinan, China",China National Aviation Corporation,Stinson,3,3,0,,,
11/26/31,"Pasco, Washington",Varney Air Lines,Boeing 40,1,1,0,,,
12/5/31,"Kewanee, Illinois",Braniff Airways,Lockheed Vega 5,2,6,0,,,
12/6/31,"Bangkok, Thailand",KLM Royal Dutch Airlines,Fokker F-VIIb-3M,5,7,0,,,
12/9/31,Off Algiers,Aeropostale,CAMS 56,2,2,0,,,
12/31/31,"Springfield, Ohio",American Airways,Fairchild Pilgrim 100A,4,5,0,,,
1/21/32,"Colvin Park, Ilinois",Northwest Airways,Stinson SM-2A,1,1,0,,,
1/29/32,"Lebec, California",Century Pacific Lines,Stinson SM-6000B,8,8,0,,,
2/1/32,"Off Miami, Florida",Bimini Airways,Fairchild,5,5,0,,,
2/2/32,"Marcellus, Michigan",Transamerican Airlines,Stearman C-3MB,1,1,0,,,
2/2/32,"Rio Vista, California",Boeing Air Transport,Boeing 40,1,2,0,,,
2/27/32,"Off Setiba, Brazil",Aeropostale,Latecoere 28,3,3,0,,,
3/8/32,"Saint Louis, Illinois",Century Air Lines,Stinson SM-6000B,2,5,0,,,
3/19/32,"Calimesa, California",American Airways,Fokker F-10A,7,7,0,,,
3/21/32,"Steubenville, Ohio",Trans Continental and Western Air,Northrop Alpha,1,1,0,,,
3/29/32,Syria,Air Orient,Farman F-190,3,3,0,,,
3/31/32,"Bedford, Ohio",National Air Transport,Boeing 95,1,1,0,,,
4/21/32,"Fort Wayne, Indiana",Transamerica Airlines,Stearman C-3MB,1,1,0,,,
5/3/32,"Portland, Oregon",Varney Air Lines,Boeing 40,2,2,0,,,
5/16/32,"Burbank, California",Pacific Air Transport,Boeing 40,3,3,0,,,
7/16/32,"Mount El Plomo, near Vitacura, Chile",Panagra,Ford 5-AT-C Tri Motor,9,9,0,,,
8/12/32,"Beyrouth, Lebanon",Air Orient,CAMS 53,1,7,0,,,
8/30/32,"Tubergen, Germany",A B Aerotransport,Junkers G-23,2,2,0,,,
9/8/32,"Salt Flats, Texas",American Airways,Fokker F-10,3,4,0,,,
9/17/32,"Selsdon Park, England",Air Union,Liore-et-Olivier 213,1,2,0,,,
9/18/32,"Byron Bay, Australia",New England Airways,De Havilland DH-80,3,3,0,,,
10/12/32,"Port Etienne, Mauritania",Aeropostale,Latecoere 28,1,1,0,,,
10/26/32,"Villa Monte, Bolivia",Lloyd Aero Boliviano,Ford Tri-motor 5,2,2,0,,,
