Manufacturer,#_recalls
"DALEWOOD MFG. CO., INC.",1
"Dalton Enterprises, Inc.",1
Damon Corporation,31
DANA CORPORATION,34
Dana Incorporated,8
Dannmar Equipment,1
Darsan Trading Co.,2
DAVINCI COACHWORKS INC,1
DAVIS EQUIPMENT CORPORATION,1
"Daystar Products International, Inc.",1
DAYTON STEEL FOUNDRY CO.,8
"DAYTON WIRE WHEEL, INC.",1
Daytona Helmets International,3
DDT Mobility Inc.,1
DE LOREAN MOTOR COMPANY,3
DEALER VALUE SERVICES,1
DEALER WORKS INC.,1
DEERE & COMPANY,1
Dejana Truck & Utility Equipment Co,1
Deking Corporation Co. Ltd.,1
DEL- NAT TIRE CORPORATION,1
DEL-NAT TIRE CORPORATION,4
Delco Trailers LLC,1
"Delta Mfg., Inc.",1
"DELTA TECH INDUSTRIES, LLC",1
Demers Ambulances,1
DEMPSTER INDUSTRIES INC.,1
DENMAN TIRE CORPORATION,2
Dennis Eagle Inc.,13
"Denso International America, Inc.",2
DERBI MOTOR CORP. AMERICA,1
DESIGNTECH INTERNATIONAL INC.,1
"DETOMASO OF AMERICA, INC.",3
DETROIT DIESEL CORP.,12
DEXTER AXLE,12
Dexter Axle Company,8
Dexter Ventline and Door,2
DI GIORGIO LEISURE PROD.,1
DIAMO USA,1
Diamond Coach Corporation,18
"DIAMOND REO TRUCKS, INC.",5
DIAMOND-STAR MOTORS,1
"DiamondBack Automotive Accessories, Inc.",1
DICK WALTERS RV'S,1
DICK'S Sporting Goods,1
"DICO COMPANY, INC.",1
Diesel Modification Center LLC.,1
DILL AIR CONTROLS PRODUCTS,1
DIMPLEX NORTH AMERICA LTD.,1
"Diode Dynamics, LLC",1
Diono,2
"DIRECT LINE, INC.",1
"DIRECTED ELECTRONICS, INC.",1
"Directed, LLC",1
Discount Tire,1
"Dixie Craft Trailers, Inc.",1
"DLT, LLC",1
"Dodgen Industries, Inc.",9
"Doepker Industries, Ltd.",2
DOLPHIN RV PRODUCTS INC.,3
Dometic Corporation,6
DON RITACCO & CO. LTD,1
DON'S AUTO UPHOLSTERY,1
"Doolittle Trailer Mfg. Co., Inc.",1
Doosan Portable Power,2
"DOPE, INC.",1
DORAN MANUFACTURING CO.,1
"Dorel China America, Inc.",1
Dorel Juvenile Group,22
"Dorman Products, Inc.",12
DORSEY CORPORATION,13
DOT CHEMICAL,1
DOUBLE B TRAILERS LLC,1
"DOUBLE DUTY RV CONVERSIONS, INC.",2
"DOUBLE EAGLE LUBS., INC.",1
Double K Inc.,10
"Double R Trailer Mfg., Inc.",1
Doubletree RV,8
DOUGLAS AUTOTECH CORP.,3
DOUGLAS MARINE CORPORATION,1
DOVER,2
DOW CORNING CORPORATION,1
DPD,1
DRAG,2
Drake Automotive Group LLC,1
DRAKE TRAILERS OF EDINBURGH,1
"DRAW-LITE, INC.",1
"DRAW-TITE, INC.",1
"DREAM SHAK, LLC",1
"Dressen Custom Trailers, Inc.",1
DRI INC.,1
DRIVE LINE INC.,1
DRIVE MASTER CO. INC,2
Driverge Vehicle Innovations,3
DRIVING SPECIALTIES LTD,1
DRV Suites,12
"DRY LAUNCH,DIV. OF SIERRA",1
DS Corp - DBA Crossroads RV,8
"Dual-Tech, Inc.",1
Ducati North America,94
"Dueco, Inc.",1
DUNLOP TIRE CORPORATION,22
DUO-THERM,1
DURA,1
"DURA AUTOMOTIVE SYSTEMS, INC.",1
"DURAKON INDUSTRIES, INC.",1
DURALON,1
DURHAM MFG. COMPANY,1
Duruxx LLC,1
DUSTER CAMPER II INC.,1
"Dutchmen Manufacturing, Inc.",35
DUTTON'S UPHOLSTERY,1
"DYGERT SEATING, INC.",1
DYNAMAX CORPORATION,3
DYNAMIC ELECTRONICS MFG.,1
Dynamite Manufacturing DBA Man Cave RV,1
DYNATRON INDUSTRIES.,1
"DYNEER, GRANNING DIVISION",1
E R BUSKE MFG CO INC,1
E SPEED RACING,1
