Electricity Net Generation Total (including from sources not shown) All Sectors Monthly
https://www.eia.gov/opendata/v1/qb.php?category=711280&sdid=TOTAL.ELETPUS.M
13:20:03 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ELETPUS.M Million Kilowatthours
Jan 1983,195870.844
Dec 1982,184957.943
Nov 1982,173598.759
Oct 1982,173172.248
Sep 1982,180875.268
Aug 1982,205891.676
Jul 1982,210865.079
Jun 1982,186447.119
May 1982,177479.981
Apr 1982,172876.502
Mar 1982,187967.965
Feb 1982,180545.573
Jan 1982,209694.373
Dec 1981,195825.699
Nov 1981,175791.753
Oct 1981,181557.59
Sep 1981,187051.489
Aug 1981,210639.415
Jul 1981,220654.747
Jun 1981,203020.751
May 1981,178138.553
Apr 1981,172841.342
Mar 1981,185833.882
Feb 1981,179859.91
Jan 1981,206758.205
Dec 1980,195848.927
Nov 1980,178771.361
Oct 1980,178761.034
Sep 1980,191697.74
Aug 1980,215629.382
Jul 1980,217057.853
Jun 1980,189748.486
May 1980,176066.486
Apr 1980,169016.585
Mar 1980,187744.8
Feb 1980,188961.379
Jan 1980,200296.33
Dec 1979,188970.171
Nov 1979,177769.508
Oct 1979,179953.363
Sep 1979,180974.646
Aug 1979,205100.592
Jul 1979,202522.477
Jun 1979,186976.379
May 1979,178409.356
Apr 1979,170260.472
Mar 1979,183154.004
Feb 1979,186587.309
Jan 1979,209986.749
Dec 1978,192105.353
Nov 1978,176389.093
Oct 1978,176013.116
Sep 1978,185802.058
Aug 1978,206658.749
Jul 1978,202947.293
Jun 1978,188585.386
May 1978,175548.628
Apr 1978,160012.982
Mar 1978,173460.887
Feb 1978,173745.731
Jan 1978,198107.635
Dec 1977,184589.27
Nov 1977,167388.072
Oct 1977,166645.282
Sep 1977,176497.56
Aug 1977,196363.166
Jul 1977,199167.726
Jun 1977,181031.212
May 1977,169596.403
Apr 1977,157117.355
Mar 1977,169437.171
Feb 1977,162949.088
Jan 1977,196665.182
Dec 1976,184144.107
Nov 1976,169346.291
Oct 1976,164009.445
Sep 1976,165237.437
Aug 1976,186638.696
Jul 1976,186691.04
Jun 1976,173673.719
May 1976,157664.467
Apr 1976,153467.392
Mar 1976,164466.676
Feb 1976,156965.799
Jan 1976,178608.612
Dec 1975,169628.296
Nov 1975,153035.097
Oct 1975,155187.742
Sep 1975,155440.826
Aug 1975,179930.892
Jul 1975,177056.505
Jun 1975,162716.96
May 1975,153531.08
Apr 1975,146494.879
Mar 1975,155760.211
Feb 1975,147349
Jan 1975,164623.08
Dec 1974,160009.019
Nov 1974,150070.855
Oct 1974,152195.832
Sep 1974,152467.442
Aug 1974,174119.001
Jul 1974,178247.304
Jun 1974,156440.089
May 1974,153812.873
Apr 1974,142311.633
Mar 1974,150342.206
Feb 1974,142748.458
Jan 1974,157554.691
Dec 1973,153604.858
Nov 1973,148137.609
Oct 1973,154197.466
Sep 1973,156875.032
Aug 1973,177365.364
Jul 1973,173733.007
Jun 1973,161243.674
May 1973,147395.124
Apr 1973,139589.44
Mar 1973,148158.37
Feb 1973,143538.699
Jan 1973,160217.989
